provider,provider_hotel_id,name,address,city,country,country_code,latitude,longitude,stars
dida,12865,Kimpton Hotel Monaco Seattle by IHG,1101 4th Ave,Seattle (and vicinity),Usa,US,47.606979,-122.33413,4.5
expedia,5320293,Bella Vista Motel Wellington,302-304 Evans Bay Parade,Wellington,New Zealand,NZ,-41.302096,174.804296,4
tripcom,740586,Bella Vista Motel Wellington,302/304 Evans Bay Parade,Веллингтон,New Zealand,NZ,-41.30192,174.804164,4
paximum,390152,Bella Vista Motel Wellington,302-304 Evans Bay Parade Greta Point Wellington,Wellington,New Zealand,NZ,-41.30203,174.8042,4
webbeds,853755,Bella Vista Motel Wellington,302-306 EVANS BAY PARADE Wellington,WELLINGTON - NZ,NEW ZEALAND,NZ,-41.302097,174.804291,4
dida,260584,Bella Vista Motel Wellington,302-304 Evans Bay Parade,Wellington (and vicinity),New Zealand,NZ,-41.302096,174.804296,4
expedia,2028454,Comfort Suites Niceville Near Elgin Air Force Base,148 John Sims Parkway,Niceville,United States,US,30.52104,-86.48885,2.5
tripcom,2926684,Comfort Suites Niceville Near Eglin Air Force Base,148 E John Sims Pkwy,Нисевилл,United States,US,30.523313,-86.495931,2
paximum,409818,Comfort Suites Niceville,148 West John Sims Parkway Niceville FL 32578,Niceville,USA,US,30.52297,-86.49579,2.5
webbeds,349675,COMFORT SUITES NICEVILLE NEAR ELGIN AIR FORCE BASE,148 John Sims Parkway W,NICEVILLE - FL,UNITED STATES OF AMERICA,US,30.523335,-86.495934,3
dida,30560,Comfort Suites Niceville Near Elgin Air Force Base,148 John Sims Parkway,Fort Walton Beach - Destin (and vicinity),Usa,US,30.52104,-86.48885,2.5
expedia,1782670,L'Ea Bianca Luxury Resort,"Loc. Cala dei Ginepri, Baja Sardinia",Arzachena,Italy,IT,41.114755,9.461067,5
webbeds,451125,L'Ea Bianca Luxury Resort,Cala dei Ginepri,BAJA SARDINIA,ITALY,IT,41.114899,9.46113,5
dida,1213657,L'Ea Bianca Luxury Resort,"Loc. Cala dei Ginepri, Baja Sardinia",Arzachena,Italy,IT,41.114755,9.461067,5
expedia,5308748,Travelodge by Wyndham Meadow Lake,101 1st Street East,Meadow Lake,Canada,CA,54.133244,-108.43202,2
tripcom,2219191,Travelodge by Wyndham Meadow Lake,101 1 St E,Медоу Лейк,Canada,CA,54.133003,-108.431932,2
paximum,143021,Travelodge Meadow Lake,101 1 Street East Meadow Lake SK S9X 1L2,Meadow Lake,Canada,CA,54.13317,-108.4317,2
webbeds,930415,Travelodge by Wyndham Meadow Lake,101 1St Street East Meadow Lake Sk S9x 1V9 Ca,MEADOW LAKE - SK,CANADA,CA,54.133022,-108.431908,2
dida,110283,Travelodge by Wyndham Meadow Lake,101 1st Street East,Meadow Lake,Canada,CA,54.133244,-108.43202,2
expedia,5387049,King's View,"Anaxos, Mithimna",Lesvos,Greece,GR,39.319773,26.150105,
paximum,269989,King's View,,Lesbos,Greece,GR,39.1354,26.4613,
expedia,658052,ibis Styles Metz Centre Gare,23 Avenue Foch,Metz,France,FR,49.11134,6.1765,3
tripcom,2283122,Ibis Styles Metz Centre Gare,23 Av. Foch,Мец,France,FR,49.111276,6.176357,3
